country,target,year,month,etv,count,category
UK,indiecampers.co.uk,2025,1,326796.5883,8415,rent-a-car
UK,indiecampers.co.uk,2024,12,439819.0145,10270,rent-a-car
UK,indiecampers.co.uk,2024,11,576919.9366,11652,rent-a-car
UK,indiecampers.co.uk,2024,10,594278.4867,11565,rent-a-car
UK,indiecampers.co.uk,2024,9,552697.7233,10293,rent-a-car
UK,indiecampers.co.uk,2024,8,373240.0079,7434,rent-a-car
UK,indiecampers.co.uk,2024,7,322160.7656,7440,rent-a-car
UK,indiecampers.co.uk,2024,6,350595.6564,7450,rent-a-car
UK,indiecampers.co.uk,2024,5,287203.445,6869,rent-a-car
UK,indiecampers.co.uk,2024,4,270949.5441,6741,rent-a-car
UK,indiecampers.co.uk,2024,3,284918.3388,7084,rent-a-car
UK,indiecampers.co.uk,2024,2,272567.9821,7046,rent-a-car
UK,indiecampers.co.uk,2024,1,264470.5132,7667,rent-a-car
UK,budget.com,2025,1,152651.0085,28216,rent-a-car
UK,budget.com,2024,12,169253.8418,31459,rent-a-car
UK,budget.com,2024,11,202447.5673,33247,rent-a-car
UK,budget.com,2024,10,187302.7089,30552,rent-a-car
UK,budget.com,2024,9,168442.8126,26434,rent-a-car
UK,budget.com,2024,8,146353.8969,20000,rent-a-car
UK,budget.com,2024,7,158441.2184,21428,rent-a-car
UK,budget.com,2024,6,140843.7146,22007,rent-a-car
UK,budget.com,2024,5,122543.8082,21369,rent-a-car
UK,budget.com,2024,4,133372.3037,20727,rent-a-car
UK,budget.com,2024,3,111032.319,20511,rent-a-car
UK,budget.com,2024,2,107466.6493,19679,rent-a-car
UK,budget.com,2024,1,103975.9736,19560,rent-a-car
UK,hertz.co.uk,2025,1,3927949.465,61102,rent-a-car
UK,hertz.co.uk,2024,12,4629348.908,71961,rent-a-car
UK,hertz.co.uk,2024,11,5501342.16,76975,rent-a-car
UK,hertz.co.uk,2024,10,4909955.156,70732,rent-a-car
UK,hertz.co.uk,2024,9,4236422.631,63999,rent-a-car
UK,hertz.co.uk,2024,8,3779149.378,52916,rent-a-car
UK,hertz.co.uk,2024,7,3828803.795,55441,rent-a-car
UK,hertz.co.uk,2024,6,3838179.309,55222,rent-a-car
UK,hertz.co.uk,2024,5,3758858.819,52755,rent-a-car
UK,hertz.co.uk,2024,4,3398879.98,50102,rent-a-car
UK,hertz.co.uk,2024,3,3397895.697,50546,rent-a-car
UK,hertz.co.uk,2024,2,3446526.2,49603,rent-a-car
UK,hertz.co.uk,2024,1,3189893.373,51697,rent-a-car
UK,enterprise.co.uk,2025,1,8702650.186,110530,rent-a-car
UK,enterprise.co.uk,2024,12,10205568.38,110042,rent-a-car
UK,enterprise.co.uk,2024,11,12251358.08,114671,rent-a-car
UK,enterprise.co.uk,2024,10,11478778.74,116227,rent-a-car
UK,enterprise.co.uk,2024,9,9719544.344,107500,rent-a-car
UK,enterprise.co.uk,2024,8,7883770.274,94733,rent-a-car
UK,enterprise.co.uk,2024,7,7924454.016,103576,rent-a-car
UK,enterprise.co.uk,2024,6,7908985.697,101964,rent-a-car
UK,enterprise.co.uk,2024,5,7384124.327,96355,rent-a-car
UK,enterprise.co.uk,2024,4,7176354.09,91173,rent-a-car
UK,enterprise.co.uk,2024,3,6678275.514,82464,rent-a-car
UK,enterprise.co.uk,2024,2,6481136.569,76757,rent-a-car
UK,enterprise.co.uk,2024,1,6343980.773,81622,rent-a-car
UK,zipcar.co.uk,2025,1,15173.84229,982,rent-a-car
UK,zipcar.co.uk,2024,12,19429.14588,1325,rent-a-car
UK,zipcar.co.uk,2024,11,24086.76273,1377,rent-a-car
UK,zipcar.co.uk,2024,10,18805.58413,1172,rent-a-car
UK,zipcar.co.uk,2024,9,18981.11452,1118,rent-a-car
UK,zipcar.co.uk,2024,8,31143.79216,1680,rent-a-car
UK,zipcar.co.uk,2024,7,43971.26355,2398,rent-a-car
UK,zipcar.co.uk,2024,6,43973.96689,2331,rent-a-car
UK,zipcar.co.uk,2024,5,48400.58817,2344,rent-a-car
UK,zipcar.co.uk,2024,4,49958.43595,2412,rent-a-car
UK,zipcar.co.uk,2024,3,51710.19707,2411,rent-a-car
UK,zipcar.co.uk,2024,2,41396.97131,2447,rent-a-car
UK,zipcar.co.uk,2024,1,48599.56854,2522,rent-a-car
UK,alamo.co.uk,2025,1,589946.7337,18912,rent-a-car
UK,alamo.co.uk,2024,12,712450.325,23939,rent-a-car
UK,alamo.co.uk,2024,11,811673.9681,26057,rent-a-car
UK,alamo.co.uk,2024,10,883414.4021,23536,rent-a-car
UK,alamo.co.uk,2024,9,833236.8408,20417,rent-a-car
UK,alamo.co.uk,2024,8,392332.785,13297,rent-a-car
UK,alamo.co.uk,2024,7,259060.3973,13245,rent-a-car
UK,alamo.co.uk,2024,6,241423.7203,12938,rent-a-car
UK,alamo.co.uk,2024,5,234238.4743,12724,rent-a-car
UK,alamo.co.uk,2024,4,222820.9568,12766,rent-a-car
UK,alamo.co.uk,2024,3,206957.2266,13504,rent-a-car
UK,alamo.co.uk,2024,2,199338.271,13483,rent-a-car
UK,alamo.co.uk,2024,1,202453.2163,13635,rent-a-car
UK,carjet.com,2025,1,76582.53489,20094,rent-a-car
UK,carjet.com,2024,12,89778.04784,22231,rent-a-car
UK,carjet.com,2024,11,111847.3665,23366,rent-a-car
UK,carjet.com,2024,10,102840.1967,21050,rent-a-car
UK,carjet.com,2024,9,93151.15929,18225,rent-a-car
UK,carjet.com,2024,8,70465.52573,12253,rent-a-car
UK,carjet.com,2024,7,63174.89138,12344,rent-a-car
UK,carjet.com,2024,6,62289.12378,11815,rent-a-car
UK,carjet.com,2024,5,57814.29892,11291,rent-a-car
UK,carjet.com,2024,4,53422.34931,10572,rent-a-car
UK,carjet.com,2024,3,45043.78051,9038,rent-a-car
UK,carjet.com,2024,2,43730.89113,8445,rent-a-car
UK,carjet.com,2024,1,52323.03339,10125,rent-a-car
UK,economycarrentals.com,2025,1,44744.87002,11156,rent-a-car
UK,economycarrentals.com,2024,12,59740.79108,16304,rent-a-car
UK,economycarrentals.com,2024,11,72023.1161,18769,rent-a-car
UK,economycarrentals.com,2024,10,66468.90349,17442,rent-a-car
UK,economycarrentals.com,2024,9,57030.51044,15161,rent-a-car
UK,economycarrentals.com,2024,8,44020.90881,10141,rent-a-car
UK,economycarrentals.com,2024,7,48144.39609,11027,rent-a-car
UK,economycarrentals.com,2024,6,45405.54968,10873,rent-a-car
UK,economycarrentals.com,2024,5,43110.73617,10826,rent-a-car
UK,economycarrentals.com,2024,4,43982.33986,11217,rent-a-car
UK,economycarrentals.com,2024,3,42213.76562,11430,rent-a-car
UK,economycarrentals.com,2024,2,40361.49054,11012,rent-a-car
UK,economycarrentals.com,2024,1,39182.26628,9797,rent-a-car
UK,rentalcover.com,2025,1,19911.18298,1636,rent-a-car
UK,rentalcover.com,2024,12,22262.57507,1662,rent-a-car
UK,rentalcover.com,2024,11,31308.0925,1908,rent-a-car
UK,rentalcover.com,2024,10,29008.63391,1819,rent-a-car
UK,rentalcover.com,2024,9,20059.90288,1410,rent-a-car
UK,rentalcover.com,2024,8,11896.68521,1051,rent-a-car
UK,rentalcover.com,2024,7,12104.12581,1535,rent-a-car
UK,rentalcover.com,2024,6,18364.37766,1660,rent-a-car
UK,rentalcover.com,2024,5,11196.21355,1495,rent-a-car
UK,rentalcover.com,2024,4,12083.75843,1492,rent-a-car
UK,rentalcover.com,2024,3,8536.636085,1192,rent-a-car
UK,rentalcover.com,2024,2,8923.562718,1110,rent-a-car
UK,rentalcover.com,2024,1,12045.58818,1396,rent-a-car
UK,enterprise.com,2025,1,391682.4009,26595,rent-a-car
UK,enterprise.com,2024,12,451595.9778,24462,rent-a-car
UK,enterprise.com,2024,11,519306.3763,26141,rent-a-car
UK,enterprise.com,2024,10,504253.9426,27305,rent-a-car
UK,enterprise.com,2024,9,461315.1204,24484,rent-a-car
UK,enterprise.com,2024,8,322185.7837,18391,rent-a-car
UK,enterprise.com,2024,7,394760.9628,20334,rent-a-car
UK,enterprise.com,2024,6,439332.9667,20490,rent-a-car
UK,enterprise.com,2024,5,395565.2469,18531,rent-a-car
UK,enterprise.com,2024,4,340713.8991,16865,rent-a-car
UK,enterprise.com,2024,3,290820.5271,17135,rent-a-car
UK,enterprise.com,2024,2,296792.2401,16747,rent-a-car
UK,enterprise.com,2024,1,281120.8164,18743,rent-a-car
UK,ots-system.net,2025,1,1719.183738,43,rent-a-car
UK,ots-system.net,2024,12,1762.820981,35,rent-a-car
UK,ots-system.net,2024,11,1819.603556,37,rent-a-car
UK,ots-system.net,2024,10,1803.733838,42,rent-a-car
UK,ots-system.net,2024,9,1752.22923,41,rent-a-car
UK,ots-system.net,2024,8,1836.818699,45,rent-a-car
UK,ots-system.net,2024,7,1826.653532,46,rent-a-car
UK,ots-system.net,2024,6,1830.577065,40,rent-a-car
UK,ots-system.net,2024,5,1856.114974,40,rent-a-car
UK,ots-system.net,2024,4,1869.688371,41,rent-a-car
UK,ots-system.net,2024,3,1732.121159,42,rent-a-car
UK,ots-system.net,2024,2,1685.814985,42,rent-a-car
UK,ots-system.net,2024,1,1497.986986,41,rent-a-car
UK,cars.booking.com,2025,1,53.40400038,102,rent-a-car
UK,cars.booking.com,2024,12,18.90332406,39,rent-a-car
UK,cars.booking.com,2024,11,5.952324033,10,rent-a-car
UK,cars.booking.com,2024,10,17.46080005,3,rent-a-car
UK,cars.booking.com,2024,9,17.46080005,3,rent-a-car
UK,cars.booking.com,2024,8,16.17280006,1,rent-a-car
UK,cars.booking.com,2024,7,324.4347879,3,rent-a-car
UK,cars.booking.com,2024,6,92.51400059,4,rent-a-car
UK,cars.booking.com,2024,5,92.51400059,4,rent-a-car
UK,cars.booking.com,2024,4,null,0,rent-a-car
UK,cars.booking.com,2024,3,null,0,rent-a-car
UK,cars.booking.com,2024,2,1.84800005,1,rent-a-car
UK,cars.booking.com,2024,1,null,0,rent-a-car
UK,cars.easyjet.com,2025,1,16214.54913,767,rent-a-car
UK,cars.easyjet.com,2024,12,20022.89946,1069,rent-a-car
UK,cars.easyjet.com,2024,11,24179.34853,1282,rent-a-car
UK,cars.easyjet.com,2024,10,22080.78554,1355,rent-a-car
UK,cars.easyjet.com,2024,9,20923.11854,1193,rent-a-car
UK,cars.easyjet.com,2024,8,20938.76506,877,rent-a-car
UK,cars.easyjet.com,2024,7,17116.44849,990,rent-a-car
UK,cars.easyjet.com,2024,6,17042.5309,841,rent-a-car
UK,cars.easyjet.com,2024,5,15462.71611,706,rent-a-car
UK,cars.easyjet.com,2024,4,16717.71012,599,rent-a-car
UK,cars.easyjet.com,2024,3,13040.04901,685,rent-a-car
UK,cars.easyjet.com,2024,2,13509.99611,715,rent-a-car
UK,cars.easyjet.com,2024,1,13365.68774,812,rent-a-car
UK,avisworld.com,2025,1,25079.18533,1921,rent-a-car
UK,avisworld.com,2024,12,29131.56344,2706,rent-a-car
UK,avisworld.com,2024,11,45135.39482,2903,rent-a-car
UK,avisworld.com,2024,10,39684.45638,2854,rent-a-car
UK,avisworld.com,2024,9,36918.63185,2682,rent-a-car
UK,avisworld.com,2024,8,24392.30771,2179,rent-a-car
UK,avisworld.com,2024,7,19205.83239,2063,rent-a-car
UK,avisworld.com,2024,6,19202.7127,1930,rent-a-car
UK,avisworld.com,2024,5,17252.60551,1710,rent-a-car
UK,avisworld.com,2024,4,15676.52266,1530,rent-a-car
UK,avisworld.com,2024,3,7426.886439,1170,rent-a-car
UK,avisworld.com,2024,2,7399.500878,1138,rent-a-car
UK,avisworld.com,2024,1,8328.144847,1244,rent-a-car
UK,carflexi.com,2025,1,29501.61602,9787,rent-a-car
UK,carflexi.com,2024,12,32746.13258,12195,rent-a-car
UK,carflexi.com,2024,11,38894.76132,13841,rent-a-car
UK,carflexi.com,2024,10,33616.79539,12663,rent-a-car
UK,carflexi.com,2024,9,28276.48569,11123,rent-a-car
UK,carflexi.com,2024,8,24019.43504,8230,rent-a-car
UK,carflexi.com,2024,7,24289.62817,7439,rent-a-car
UK,carflexi.com,2024,6,23037.13912,7425,rent-a-car
UK,carflexi.com,2024,5,15760.63895,7189,rent-a-car
UK,carflexi.com,2024,4,14981.99476,7600,rent-a-car
UK,carflexi.com,2024,3,14219.10297,7333,rent-a-car
UK,carflexi.com,2024,2,13880.71218,6959,rent-a-car
UK,carflexi.com,2024,1,13130.51439,5967,rent-a-car
UK,vwfsrentacar.co.uk,2025,1,140797.7572,7288,rent-a-car
UK,vwfsrentacar.co.uk,2024,12,158578.0885,8974,rent-a-car
UK,vwfsrentacar.co.uk,2024,11,173273.8203,9595,rent-a-car
UK,vwfsrentacar.co.uk,2024,10,154673.2901,9050,rent-a-car
UK,vwfsrentacar.co.uk,2024,9,126052.2043,8183,rent-a-car
UK,vwfsrentacar.co.uk,2024,8,99178.91274,6404,rent-a-car
UK,vwfsrentacar.co.uk,2024,7,103622.4726,6835,rent-a-car
UK,vwfsrentacar.co.uk,2024,6,100211.8528,6679,rent-a-car
UK,vwfsrentacar.co.uk,2024,5,87095.98504,6225,rent-a-car
UK,vwfsrentacar.co.uk,2024,4,77703.21387,5761,rent-a-car
UK,vwfsrentacar.co.uk,2024,3,81096.75087,5769,rent-a-car
UK,vwfsrentacar.co.uk,2024,2,76244.94839,5648,rent-a-car
UK,vwfsrentacar.co.uk,2024,1,82395.20719,6014,rent-a-car
UK,stressfreecarrental.com,2025,1,185437.9494,29754,rent-a-car
UK,stressfreecarrental.com,2024,12,256165.0769,39580,rent-a-car
UK,stressfreecarrental.com,2024,11,318138.8171,44852,rent-a-car
UK,stressfreecarrental.com,2024,10,326184.9444,42283,rent-a-car
UK,stressfreecarrental.com,2024,9,292742.0788,36601,rent-a-car
UK,stressfreecarrental.com,2024,8,166788.9689,24666,rent-a-car
UK,stressfreecarrental.com,2024,7,153618.6685,24380,rent-a-car
UK,stressfreecarrental.com,2024,6,156343.0741,24665,rent-a-car
UK,stressfreecarrental.com,2024,5,152082.1455,24705,rent-a-car
UK,stressfreecarrental.com,2024,4,145394.6462,24593,rent-a-car
UK,stressfreecarrental.com,2024,3,132356.3715,24573,rent-a-car
UK,stressfreecarrental.com,2024,2,127991.3019,24106,rent-a-car
UK,stressfreecarrental.com,2024,1,128838.4515,24968,rent-a-car
UK,mancoll.sharepoint.com,2025,1,0.3569999933,1,rent-a-car
UK,mancoll.sharepoint.com,2024,12,null,0,rent-a-car
