country,target,year,month,new_referring_main_domains,referring_main_domains,category
UK,turo.com,2024,1,616,18521,car rentals
UK,turo.com,2024,2,578,18424,car rentals
UK,turo.com,2024,3,721,18780,car rentals
UK,turo.com,2024,4,589,19048,car rentals
UK,turo.com,2024,5,680,19225,car rentals
UK,turo.com,2024,6,601,19465,car rentals
UK,turo.com,2024,7,767,19925,car rentals
UK,turo.com,2024,8,590,20120,car rentals
UK,turo.com,2024,9,685,20458,car rentals
UK,turo.com,2024,10,767,20623,car rentals
UK,turo.com,2024,11,803,20767,car rentals
UK,turo.com,2024,12,756,20824,car rentals
UK,turo.com,2025,1,907,20831,car rentals
UK,fusemetrix.com,2024,1,12,614,car rentals
UK,fusemetrix.com,2024,2,11,603,car rentals
UK,fusemetrix.com,2024,3,13,602,car rentals
UK,fusemetrix.com,2024,4,12,604,car rentals
UK,fusemetrix.com,2024,5,9,595,car rentals
UK,fusemetrix.com,2024,6,6,594,car rentals
UK,fusemetrix.com,2024,7,11,592,car rentals
UK,fusemetrix.com,2024,8,12,585,car rentals
UK,fusemetrix.com,2024,9,13,579,car rentals
UK,fusemetrix.com,2024,10,22,584,car rentals
UK,fusemetrix.com,2024,11,13,578,car rentals
UK,fusemetrix.com,2024,12,27,574,car rentals
UK,fusemetrix.com,2025,1,25,567,car rentals
UK,zestcarrental.com,2024,1,37,1582,car rentals
UK,zestcarrental.com,2024,2,20,1491,car rentals
UK,zestcarrental.com,2024,3,24,1454,car rentals
UK,zestcarrental.com,2024,4,25,1394,car rentals
UK,zestcarrental.com,2024,5,35,1342,car rentals
UK,zestcarrental.com,2024,6,21,1279,car rentals
UK,zestcarrental.com,2024,7,21,1273,car rentals
UK,zestcarrental.com,2024,8,16,1261,car rentals
UK,zestcarrental.com,2024,9,15,1248,car rentals
UK,zestcarrental.com,2024,10,40,1223,car rentals
UK,zestcarrental.com,2024,11,35,1195,car rentals
UK,zestcarrental.com,2024,12,30,1157,car rentals
UK,zestcarrental.com,2025,1,48,1113,car rentals
UK,greenmotion.com,2024,1,53,1480,car rentals
UK,greenmotion.com,2024,2,39,1471,car rentals
UK,greenmotion.com,2024,3,39,1479,car rentals
UK,greenmotion.com,2024,4,30,1474,car rentals
UK,greenmotion.com,2024,5,48,1479,car rentals
UK,greenmotion.com,2024,6,42,1488,car rentals
UK,greenmotion.com,2024,7,33,1485,car rentals
UK,greenmotion.com,2024,8,20,1466,car rentals
UK,greenmotion.com,2024,9,28,1457,car rentals
UK,greenmotion.com,2024,10,61,1458,car rentals
UK,greenmotion.com,2024,11,55,1473,car rentals
UK,greenmotion.com,2024,12,54,1471,car rentals
